85047_001.jpg,1009630,58813e48,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_002.jpg,1035830,71e93b4f,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_003.jpg,1186975,ea410504,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_004.jpg,1144024,e7f7cae8,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_005.jpg,1173025,a32b0197,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_006.jpg,1139647,cfcbff56,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_007.jpg,1001895,d2355b09,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_008.jpg,1217260,ffa7ad58,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_009.jpg,1242158,134d4422,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_010.jpg,1227259,5296affe,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_011.jpg,1189512,99a23f96,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_012.jpg,1190308,cb4e6ff6,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_013.jpg,1193631,d3c22bc9,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_014.jpg,1101886,fda96d48,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_015.jpg,946969,6722dd7e,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_016.jpg,1003615,6affdc78,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_017.jpg,1194568,7ab12724,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_018.jpg,1082222,df376086,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_019.jpg,1117511,fa49ab71,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_020.jpg,1083391,47b79b68,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_021.jpg,1140258,0742dcf7,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_022.jpg,1036789,42ae7007,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_023.jpg,1113015,d915f276,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_024.jpg,1173394,b5ef1f73,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_025.jpg,1115631,68f01e4d,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
85047_026.jpg,1116145,a54ffec5,\Rogue Adventures #45\2016-10-23, Camilla Carvalho\,{SI16~Rogue Adventures #45~61435252~2016-10-23, Camilla Carvalho}
